model,module,layer,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
mean4_iter100,gating_einsum,12,0.152370382813,1.056602623030,26.119557074176,49.653574089677
mean4_iter100,gating_einsum,13,0.162241960701,1.051283465690,25.979186909319,49.493784569796
mean4_iter100,gating_einsum,14,0.137036960463,1.067437365172,24.113803571024,45.090846226815
mean4_iter100,gating_einsum,15,0.153476802029,1.057534265178,23.713056658809,44.723229643875
mean4_iter100,gating_einsum,16,0.194877268060,1.059211802286,17.328337602540,29.134972125942
mean4_iter100,gating_einsum,17,0.589501544797,0.819842252313,8.666077097352,11.876347808156
mean4_iter100,linear,0,0.189607602619,1.042858937531,15.303148905879,28.284610343652
mean4_iter100,linear,1,0.173469324958,1.039089459979,16.500739718093,32.685870489082
mean4_iter100,linear,2,0.158770505445,1.046895446830,16.327440374393,32.210012029747
mean4_iter100,linear,3,0.159852325579,1.043552375818,16.661851580673,33.436646940752
mean4_iter100,linear,4,0.151116872404,1.046435646512,16.703350350332,33.783047009370
mean4_iter100,linear,5,0.146248373338,1.048261530885,16.710496879789,33.895121436728
mean4_iter100,linear,6,0.142405092378,1.048859209912,16.749172122969,34.225968062512
mean4_iter100,linear,7,0.141416291124,1.048368713332,16.761768504473,34.454532224880
mean4_iter100,linear,8,0.143127497567,1.046299545872,16.837493444981,34.890551199912
mean4_iter100,linear,9,0.142001503697,1.046000956951,16.805075710985,35.006319194336
mean4_iter100,linear,10,0.140327410499,1.045878092182,16.796160233422,35.189698901436
mean4_iter100,linear,11,0.142171819204,1.045279893589,16.660672078965,34.850369608186
mean4_iter100,linear,12,0.168227870940,1.034148804273,16.571075397762,34.458406186311
mean4_iter100,linear,13,0.188330737850,1.030317224165,15.723909215646,31.459498475218
mean4_iter100,linear,14,0.162183983405,1.041801542083,15.104522325245,30.432369320094
mean4_iter100,linear,15,0.209102973376,1.028178889518,14.043652054790,26.662836135188
mean4_iter100,linear,16,0.228925998702,1.042022314657,10.422826752326,17.351068536952
mean4_iter100,linear,17,0.545924198582,0.855167458815,4.297864117050,5.992335420307
ft_from_500,gating_einsum,0,0.199385238143,1.951023814857,67.889514188100,35.987630082182
ft_from_500,gating_einsum,1,0.171649544914,1.911559607309,78.424981164550,43.333603685770
ft_from_500,gating_einsum,2,0.137881454465,1.916231659506,79.225341325051,44.551304552103
