module,layer,task,r_in_2task_mean,r_in_4task_mean,drop_r,cos_with_2task_mean,cos_with_4task_mean,norm_ratio_2task_mean,norm_ratio_4task_mean
gating_einsum,8,libero_object,0.031468556290,0.272719749973,0.241251193683,0.043656070099,0.520802099149,0.720828884031,0.523653323247
gating_einsum,8,libero_goal,0.029809846729,0.271840632732,0.242030786003,0.041503047933,0.520982263143,0.718256807960,0.521784812964
gating_einsum,9,libero_10,0.513268695517,0.271055151059,-0.242213544458,0.717291520050,0.522317582469,0.715564984626,0.518947016444
gating_einsum,9,libero_spatial,0.513334592314,0.271595576534,-0.241739015780,0.715608834558,0.522064203515,0.717339651949,0.520234053026
gating_einsum,9,libero_object,0.030595251581,0.272088945304,0.241493693722,0.042403214770,0.519974101733,0.721531415658,0.523274033066
gating_einsum,9,libero_goal,0.028758510227,0.271128954885,0.242370444658,0.039980294906,0.519734528338,0.719317110967,0.521668159612
gating_einsum,10,libero_10,0.512791662661,0.270131583572,-0.242660079089,0.715916319450,0.520414223450,0.716273185469,0.519070331671
gating_einsum,10,libero_spatial,0.512778597130,0.270451888195,-0.242326708936,0.716263971471,0.521297594374,0.715907287752,0.518805172158
gating_einsum,10,libero_object,0.028886646278,0.270788517458,0.241901871180,0.040105661139,0.518789631268,0.720263560236,0.521962084700
gating_einsum,10,libero_goal,0.027136615981,0.269861626773,0.242725010791,0.037830914806,0.519140337163,0.717313237615,0.519824038809
gating_einsum,11,libero_10,0.512670154880,0.269913085606,-0.242757069274,0.714773640122,0.519612989346,0.717248267288,0.519450227651
gating_einsum,11,libero_spatial,0.512580834876,0.270321485178,-0.242259349698,0.717181514663,0.522243273120,0.714715625537,0.517616021290
gating_einsum,11,libero_object,0.028209186285,0.270433245376,0.242224059091,0.039174358922,0.518557579048,0.720093118580,0.521510544446
gating_einsum,11,libero_goal,0.027555680761,0.270085205926,0.242529525164,0.038331348586,0.518763387166,0.718881066744,0.520632744344
gating_einsum,12,libero_10,0.513467897939,0.271442968781,-0.242024929158,0.713526560149,0.519492488719,0.719619880487,0.522515675732
gating_einsum,12,libero_spatial,0.513235749539,0.271492099889,-0.241743649649,0.719431393353,0.524123353030,0.713390817082,0.517992755560
gating_einsum,12,libero_object,0.030233389654,0.271760441375,0.241527051721,0.042150860510,0.521806724833,0.717266250033,0.520806705705
gating_einsum,12,libero_goal,0.029311089059,0.271355526145,0.242044437086,0.040693147391,0.518838058585,0.720295453608,0.523006209076
gating_einsum,13,libero_10,0.516129145448,0.275344410282,-0.240784735166,0.713483398170,0.522931109784,0.723393349826,0.526540504342
gating_einsum,13,libero_spatial,0.515679532158,0.274924807191,-0.240754724967,0.723010344859,0.529567437655,0.713239493494,0.519149758166
gating_einsum,13,libero_object,0.034901199721,0.275378798325,0.240477598604,0.048355933016,0.524182645888,0.721756308774,0.525348941796
gating_einsum,13,libero_goal,0.034801859657,0.275400063490,0.240598203832,0.048004023805,0.521893579443,0.724977968494,0.527693909903
gating_einsum,14,libero_10,0.515377326176,0.274164972724,-0.241212353452,0.703852153702,0.514881242656,0.732223839147,0.532481958965
gating_einsum,14,libero_spatial,0.514197543036,0.272136043851,-0.242061499184,0.730836029180,0.531881623015,0.703574430522,0.511647765359
gating_einsum,14,libero_object,0.029821374220,0.271571446354,0.241750072134,0.042344813175,0.530268269028,0.704250933798,0.512139726655
gating_einsum,14,libero_goal,0.033582382399,0.274055081757,0.240472699359,0.045662669050,0.512420641905,0.735445016626,0.534824437865
gating_einsum,15,libero_10,0.514189882558,0.272451642105,-0.241738240453,0.695218137371,0.505437586481,0.739609418855,0.539041118809
gating_einsum,15,libero_spatial,0.512542668463,0.270246727123,-0.242295941341,0.737092549732,0.533252594450,0.695357277250,0.506789333864
gating_einsum,15,libero_object,0.026442157242,0.269343268648,0.242901111406,0.038303527132,0.535338586897,0.690332176221,0.503126946647
gating_einsum,15,libero_goal,0.031743753441,0.272846708566,0.241102955125,0.043081090994,0.508074821183,0.736837269165,0.537020724487
gating_einsum,16,libero_10,0.551408005948,0.326860772926,-0.224547233022,0.687320102204,0.526012229249,0.802257935102,0.621393866436
gating_einsum,16,libero_spatial,0.537555914294,0.307907781163,-0.229648133131,0.783945429775,0.579735521915,0.685705782415,0.531117672670
